"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-16 05:57:02",1763272622885,"sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app/favicon.png","GET","",-1,"cl6df-1763272621173-f2e42dd7f616","vercel-favicon/1.0","error","preview","claude/fix-vercel-env-vars-01PVFPrsZYa1N4DXu2WdYd5u","","lambda","/![-]/catchall","sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app","sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app","dpl_Dd6zNwEqnj94k9v7g85aF4G65yxC",-1,"iad1",-1,-1,"{""level"":""warn"",""time"":1763272622186,""pid"":4,""hostname"":""169.254.27.167"",""msg"":""No MongoDB URL found, using in-memory server""}
{""level"":""info"",""time"":1763272622187,""pid"":4,""hostname"":""169.254.27.167"",""msg"":""Using database path: /tmp/db""}
Starting the MongoMemoryServer Instance failed, enable debug log for more information. Error:
 Error: ENOENT: no such file or directory, mkdir '/home/sbx_user1051'
    at async Object.mkdir (node:internal/fs/promises:860:10)
    at async mkdir (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/utils.js:246:5)
    at async MongoBinary.download (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoBinary.js:28:9)
    at async MongoBinary.getPath (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoBinary.js:105:30)
    at async MongoInstance.start (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoInstance.js:136:26)
    at async MongoInstance.create (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoInstance.js:85:9)
    at async MongoMemoryServer._startUpInstance (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:226:26)
    at async MongoMemoryServer.start (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:85:9)
    at async MongoMemoryServer.create (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:64:9)
    at async Database.init (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:33:26) {
  errno: -2,
  code: 'ENOENT',
  syscall: 'mkdir',
  path: '/home/sbx_user1051'
}
Error: ENOENT: no such file or directory, mkdir '/home/sbx_user1051'
    at async Object.mkdir (node:internal/fs/promises:860:10)
    at async mkdir (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/utils.js:246:5)
    at async MongoBinary.download (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoBinary.js:28:9)
    at async MongoBinary.getPath (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoBinary.js:105:30)
    at async MongoInstance.start (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoInstance.js:136:26)
    at async MongoInstance.create (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoInstance.js:85:9)
    at async MongoMemoryServer._startUpInstance (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:226:26)
    at async MongoMemoryServer.start (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:85:9)
    at async MongoMemoryServer.create (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:64:9)
    at async Database.init (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:33:26) {
  errno: -2,
  code: 'ENOENT',
  syscall: 'mkdir',
  path: '/home/sbx_user1051'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_CBsIGjlJ87UAjDuO4Kt1nvBNzEGo","","","01KA5KSZ50XA34PXVCMXMEBC7S","",-1
"2025-11-16 05:57:02",1763272622736,"sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app/favicon.png","GET","",-1,"wchc8-1763272621153-8df966145759","vercel-favicon/1.0","error","preview","","","lambda","/![-]/catchall","sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app","sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app","dpl_6C6Tm46qukMzSyJuGTLuxai66HD8",-1,"iad1",-1,-1,"{""level"":""warn"",""time"":1763272622130,""pid"":4,""hostname"":""169.254.44.241"",""msg"":""No MongoDB URL found, using in-memory server""}
{""level"":""info"",""time"":1763272622131,""pid"":4,""hostname"":""169.254.44.241"",""msg"":""Using database path: /var/task/vercel/path0/db""}
{""level"":""info"",""time"":1763272622131,""pid"":4,""hostname"":""169.254.44.241"",""msg"":""Creating database directory at /var/task/vercel/path0/db""}
Error: ENOENT: no such file or directory, mkdir '/var/task/vercel/path0/db'
    at mkdirSync (node:fs:1363:26)
    at Database.init (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:29:9)
    at Database.getInstance (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:67:31)
    at file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:216:31
    at file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:221:3
    at ModuleJob.run (node:internal/modules/esm/module_job:345:25)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:665:26)
    at async get_hooks (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/internal.js:531:49)
    at async file:///var/task/vercel/path0/.svelte-kit/output/server/index.js:3192:24 {
  errno: -2,
  code: 'ENOENT',
  syscall: 'mkdir',
  path: '/var/task/vercel/path0/db'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_CBsIGjlJ87UAjDuO4Kt1nvBNzEGo","","","01KA5KSZ4C7EJ9H6XZ6HRM3E2Q","",-1
"2025-11-16 05:57:01",1763272621216,"sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app/favicon.png","GET","",500,"cl6df-1763272621173-f2e42dd7f616","vercel-favicon/1.0","error","preview","claude/fix-vercel-env-vars-01PVFPrsZYa1N4DXu2WdYd5u","","lambda","/![-]/catchall","sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app","sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app","dpl_Dd6zNwEqnj94k9v7g85aF4G65yxC",1653,"iad1",195,2048,"","prj_CBsIGjlJ87UAjDuO4Kt1nvBNzEGo","","","01KA5KSZ50XA34PXVCMXMEBC7S","",1
"2025-11-16 05:57:01",1763272621196,"sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app/favicon.png","GET","",500,"wchc8-1763272621153-8df966145759","vercel-favicon/1.0","error","preview","","","lambda","/![-]/catchall","sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app","sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app","dpl_6C6Tm46qukMzSyJuGTLuxai66HD8",1518,"iad1",197,2048,"","prj_CBsIGjlJ87UAjDuO4Kt1nvBNzEGo","","","01KA5KSZ4C7EJ9H6XZ6HRM3E2Q","",1
"2025-11-16 05:56:59",1763272619009,"sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app/favicon.png","GET","",-1,"hhllf-1763272617438-7c9bf7a87d4b","vercel-favicon/1.0","error","preview","","","lambda","/![-]/catchall","sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app","sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app","dpl_6C6Tm46qukMzSyJuGTLuxai66HD8",-1,"iad1",-1,-1,"{""level"":""warn"",""time"":1763272618420,""pid"":4,""hostname"":""169.254.44.241"",""msg"":""No MongoDB URL found, using in-memory server""}
{""level"":""info"",""time"":1763272618421,""pid"":4,""hostname"":""169.254.44.241"",""msg"":""Using database path: /var/task/vercel/path0/db""}
{""level"":""info"",""time"":1763272618421,""pid"":4,""hostname"":""169.254.44.241"",""msg"":""Creating database directory at /var/task/vercel/path0/db""}
Error: ENOENT: no such file or directory, mkdir '/var/task/vercel/path0/db'
    at mkdirSync (node:fs:1363:26)
    at Database.init (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:29:9)
    at Database.getInstance (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:67:31)
    at file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:216:31
    at file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:221:3
    at ModuleJob.run (node:internal/modules/esm/module_job:345:25)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:665:26)
    at async get_hooks (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/internal.js:531:49)
    at async file:///var/task/vercel/path0/.svelte-kit/output/server/index.js:3192:24 {
  errno: -2,
  code: 'ENOENT',
  syscall: 'mkdir',
  path: '/var/task/vercel/path0/db'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_CBsIGjlJ87UAjDuO4Kt1nvBNzEGo","","","01KA5KSVGCAHBK67EV72EDX20K","",-1
"2025-11-16 05:56:58",1763272618975,"sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app/favicon.png","GET","",-1,"vpk5s-1763272617300-615bdc4f2890","vercel-favicon/1.0","error","preview","claude/fix-vercel-env-vars-01PVFPrsZYa1N4DXu2WdYd5u","","lambda","/![-]/catchall","sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app","sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app","dpl_Dd6zNwEqnj94k9v7g85aF4G65yxC",-1,"iad1",-1,-1,"{""level"":""warn"",""time"":1763272618305,""pid"":4,""hostname"":""169.254.27.167"",""msg"":""No MongoDB URL found, using in-memory server""}
{""level"":""info"",""time"":1763272618306,""pid"":4,""hostname"":""169.254.27.167"",""msg"":""Using database path: /tmp/db""}
Starting the MongoMemoryServer Instance failed, enable debug log for more information. Error:
 Error: ENOENT: no such file or directory, mkdir '/home/sbx_user1051'
    at async Object.mkdir (node:internal/fs/promises:860:10)
    at async mkdir (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/utils.js:246:5)
    at async MongoBinary.download (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoBinary.js:28:9)
    at async MongoBinary.getPath (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoBinary.js:105:30)
    at async MongoInstance.start (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoInstance.js:136:26)
    at async MongoInstance.create (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoInstance.js:85:9)
    at async MongoMemoryServer._startUpInstance (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:226:26)
    at async MongoMemoryServer.start (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:85:9)
    at async MongoMemoryServer.create (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:64:9)
    at async Database.init (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:33:26) {
  errno: -2,
  code: 'ENOENT',
  syscall: 'mkdir',
  path: '/home/sbx_user1051'
}
Error: ENOENT: no such file or directory, mkdir '/home/sbx_user1051'
    at async Object.mkdir (node:internal/fs/promises:860:10)
    at async mkdir (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/utils.js:246:5)
    at async MongoBinary.download (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoBinary.js:28:9)
    at async MongoBinary.getPath (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoBinary.js:105:30)
    at async MongoInstance.start (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoInstance.js:136:26)
    at async MongoInstance.create (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoInstance.js:85:9)
    at async MongoMemoryServer._startUpInstance (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:226:26)
    at async MongoMemoryServer.start (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:85:9)
    at async MongoMemoryServer.create (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:64:9)
    at async Database.init (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:33:26) {
  errno: -2,
  code: 'ENOENT',
  syscall: 'mkdir',
  path: '/home/sbx_user1051'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_CBsIGjlJ87UAjDuO4Kt1nvBNzEGo","","","01KA5KSVBXYZWTJH1RJH2DWETP","",-1
"2025-11-16 05:56:57",1763272617484,"sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app/favicon.png","GET","",500,"hhllf-1763272617438-7c9bf7a87d4b","vercel-favicon/1.0","error","preview","","","lambda","/![-]/catchall","sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app","sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app","dpl_6C6Tm46qukMzSyJuGTLuxai66HD8",1511,"iad1",201,2048,"","prj_CBsIGjlJ87UAjDuO4Kt1nvBNzEGo","","","01KA5KSVGCAHBK67EV72EDX20K","",1
"2025-11-16 05:56:57",1763272617341,"sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app/favicon.png","GET","",500,"vpk5s-1763272617300-615bdc4f2890","vercel-favicon/1.0","error","preview","claude/fix-vercel-env-vars-01PVFPrsZYa1N4DXu2WdYd5u","","lambda","/![-]/catchall","sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app","sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app","dpl_Dd6zNwEqnj94k9v7g85aF4G65yxC",1607,"iad1",200,2048,"","prj_CBsIGjlJ87UAjDuO4Kt1nvBNzEGo","","","01KA5KSVBXYZWTJH1RJH2DWETP","",1
"2025-11-16 05:56:56",1763272616335,"sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app/favicon.png","GET","",-1,"gcrtv-1763272614794-a8ff08234e34","vercel-favicon/1.0","error","preview","","","lambda","/![-]/catchall","sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app","sixtyoneeightychatmojo-igyzyd4z1-mojois-dead-long-live-mojo.vercel.app","dpl_6C6Tm46qukMzSyJuGTLuxai66HD8",-1,"iad1",-1,-1,"{""level"":""warn"",""time"":1763272615752,""pid"":4,""hostname"":""169.254.44.241"",""msg"":""No MongoDB URL found, using in-memory server""}
{""level"":""info"",""time"":1763272615753,""pid"":4,""hostname"":""169.254.44.241"",""msg"":""Using database path: /var/task/vercel/path0/db""}
{""level"":""info"",""time"":1763272615753,""pid"":4,""hostname"":""169.254.44.241"",""msg"":""Creating database directory at /var/task/vercel/path0/db""}
Error: ENOENT: no such file or directory, mkdir '/var/task/vercel/path0/db'
    at mkdirSync (node:fs:1363:26)
    at Database.init (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:29:9)
    at Database.getInstance (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:67:31)
    at file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:216:31
    at file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:221:3
    at ModuleJob.run (node:internal/modules/esm/module_job:345:25)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:665:26)
    at async get_hooks (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/internal.js:531:49)
    at async file:///var/task/vercel/path0/.svelte-kit/output/server/index.js:3192:24 {
  errno: -2,
  code: 'ENOENT',
  syscall: 'mkdir',
  path: '/var/task/vercel/path0/db'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_CBsIGjlJ87UAjDuO4Kt1nvBNzEGo","","","01KA5KSRXQP8SMVWT05VWKZ4RX","",-1
"2025-11-16 05:56:55",1763272615675,"sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app/favicon.png","GET","",-1,"ql988-1763272614039-949cd96f3e74","vercel-favicon/1.0","error","preview","claude/fix-vercel-env-vars-01PVFPrsZYa1N4DXu2WdYd5u","","lambda","/![-]/catchall","sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app","sixtyoneeightychatmojo-511t39ojg-mojois-dead-long-live-mojo.vercel.app","dpl_Dd6zNwEqnj94k9v7g85aF4G65yxC",-1,"iad1",-1,-1,"{""level"":""warn"",""time"":1763272615010,""pid"":4,""hostname"":""169.254.27.167"",""msg"":""No MongoDB URL found, using in-memory server""}
{""level"":""info"",""time"":1763272615011,""pid"":4,""hostname"":""169.254.27.167"",""msg"":""Using database path: /tmp/db""}
Starting the MongoMemoryServer Instance failed, enable debug log for more information. Error:
 Error: ENOENT: no such file or directory, mkdir '/home/sbx_user1051'
    at async Object.mkdir (node:internal/fs/promises:860:10)
    at async mkdir (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/utils.js:246:5)
    at async MongoBinary.download (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoBinary.js:28:9)
    at async MongoBinary.getPath (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoBinary.js:105:30)
    at async MongoInstance.start (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoInstance.js:136:26)
    at async MongoInstance.create (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoInstance.js:85:9)
    at async MongoMemoryServer._startUpInstance (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:226:26)
    at async MongoMemoryServer.start (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:85:9)
    at async MongoMemoryServer.create (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:64:9)
    at async Database.init (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:33:26) {
  errno: -2,
  code: 'ENOENT',
  syscall: 'mkdir',
  path: '/home/sbx_user1051'
}
Error: ENOENT: no such file or directory, mkdir '/home/sbx_user1051'
    at async Object.mkdir (node:internal/fs/promises:860:10)
    at async mkdir (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/utils.js:246:5)
    at async MongoBinary.download (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoBinary.js:28:9)
    at async MongoBinary.getPath (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoBinary.js:105:30)
    at async MongoInstance.start (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoInstance.js:136:26)
    at async MongoInstance.create (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/util/MongoInstance.js:85:9)
    at async MongoMemoryServer._startUpInstance (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:226:26)
    at async MongoMemoryServer.start (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:85:9)
    at async MongoMemoryServer.create (/var/task/vercel/path0/node_modules/mongodb-memory-server-core/lib/MongoMemoryServer.js:64:9)
    at async Database.init (file:///var/task/vercel/path0/.svelte-kit/output/server/chunks/database.js:33:26) {
  errno: -2,
  code: 'ENOENT',
  syscall: 'mkdir',
  path: '/home/sbx_user1051'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_CBsIGjlJ87UAjDuO4Kt1nvBNzEGo","","","01KA5KSR5Y6JR43XHNQCHJNJYV","",-1
